Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.008253399383288,-0.00161985978796453,0.168426672310035,0,0,0,13.2473824912366,0.0308694371982534,7.05914335064893E-06,-6.3665357273014E-06,0.0180164398505653,1.4542180216951E-05,0.0328902682032722,0,0,0,0,0,0,package://surenav_urdf_nolink/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://surenav_urdf_nolink/meshes/base_link.STL,,SURENA V-Body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
r_hip_yaw_link,-0.076225,0.00014361,-0.090014,0,0,0,3.1729,0.0046018,-3.5537E-06,-1.6582E-06,0.0036095,-7.8119E-06,0.0035987,0,0,0,0,0,0,package://surenav_urdf_nolink/meshes/r_hip_yaw_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://surenav_urdf_nolink/meshes/r_hip_yaw_link.STL,,SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Hip-1/SURENA V-RightLeg-Hip-Hip Up-1/SURENA V-RightLeg-Hip-Hip Up-Plane3-1;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Hip-1/SURENA V-RightLeg-Hip-Hip Up-1/SURENA V-RightLeg-Hip-Hip Up-Plane1-1;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Hip-1/SURENA V-RightLeg-Hip-Hip Up-1/SURENA V-RightLeg-Hip-Hip Up-Plane2-1;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Hip-1/SURENA V-RightLeg-Hip-Hip Up-1/SURENA V-RightLeg-Hip-Hip Up-Motor-EC90fl-600W-V1-1;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Hip-1/SURENA V-RightLeg-Hip-Hip Up-1/SURENA V-RightLeg-Hip-Hip Up-Hurmonic Derive Ring-1;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Hip-1/SURENA V-RightLeg-Hip-Hip Up-1/SURENA V-RightLeg-Hip-Hip Up-Plane4-1;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Hip-1/SURENA V-RightLeg-Hip-Hip Up-1/SURENA V-RightLeg-Hip-Hip Up-Hurmonic Derive-1;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Hip-1/SURENA V-RightLeg-Hip-Hip Up-1/SURENA V-RightLeg-Hip-Hip Up-Joint-1;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Hip-1/SURENA V-RightLeg-Hip-Hip Up-1/SURENA V-RightLeg-Hip-Hip Up-Hurmonic Derive Bearing-1;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Hip-1/SURENA V-RightLeg-Hip-Hip Up-1/SURENA V-RightLeg-Hip-Hip Up-Encoder-1,r_hip_yaw_frame,,r_hip_yaw_joint,fixed,0.016506,-0.1,-0.026,0,0,0,base_link,0,0,0,0,0,0,0,,,,,,,,
r_hip_roll_link,0.000984969543886728,0.0247755120757208,-0.00015880471566998,0,0,0,2.44028233906507,0.00231488381802208,-1.6751757093324E-05,6.71776908132447E-06,0.0039726936046986,3.67688669371324E-06,0.00263492529767849,0,0,0,0,0,0,package://surenav_urdf_nolink/meshes/r_hip_roll_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://surenav_urdf_nolink/meshes/r_hip_roll_link.STL,,SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Hip-1/SURENA V-RightLeg-version1-version1-Hip-Hip Down-1/SURENA V-RightLeg-version1-Hip-Hip Down-Holder-1;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Hip-1/SURENA V-RightLeg-version1-version1-Hip-Hip Down-1/SURENA V-RightLeg-version1-Hip-Hip Down-Encoder-1;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Hip-1/SURENA V-RightLeg-version1-version1-Hip-Hip Down-1/SURENA V-RightLeg-version1-Hip-Hip Down-Motor-EC90fl-600W-V1-1;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Hip-1/SURENA V-RightLeg-version1-version1-Hip-Hip Down-1/SURENA V-RightLeg-version1-Hip-Hip Down-Joint-1;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Hip-1/SURENA V-RightLeg-version1-version1-Hip-Hip Down-1/SURENA V-RightLeg-version1-Hip-Hip Down-Plane4-1;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Hip-1/SURENA V-RightLeg-version1-version1-Hip-Hip Down-1/SURENA V-RightLeg-version1-Hip-Hip Down-Hurmonic Derive Bearing-1;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Hip-1/SURENA V-RightLeg-version1-version1-Hip-Hip Down-1/SURENA V-RightLeg-version1-Hip-Hip Down-Hurmonic Derive-1,r_hip_roll_frame,Axis2,r_hip_roll_joint,revolute,-0.002,0,-0.1113,0,0,0,r_hip_yaw_link,1,0,0,0,0,0,0,,,,,,,,
r_hip_pitch_link,0.000817551274442335,0.0131193609772687,-0.183743081120117,0,0,0,5.07745417704147,0.00644247666355656,2.21016773124115E-05,-7.95823815114871E-05,0.00780317590455155,6.12901481094497E-06,0.0047353922919814,0,0,0,0,0,0,package://surenav_urdf_nolink/meshes/r_hip_pitch_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://surenav_urdf_nolink/meshes/r_hip_pitch_link.STL,,SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Hip-1/SURENA V-RightLeg-version1-version1-Hip-Hip Down-1/SURENA V-RightLeg-version1-Hip-Hip Down-Plane2-1;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Hip-1/SURENA V-RightLeg-version1-version1-Hip-Hip Down-1/SURENA V-RightLeg-version1-Hip-Hip Down-Plane3-1;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Hip-1/SURENA V-RightLeg-version1-version1-Hip-Hip Down-1/SURENA V-RightLeg-version1-Hip-Hip Down-Plane1-1;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Thigh-1/SURENA V-RightLeg-version1-Thigh-Motor-EC90fl-600W-V1-1;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Thigh-1/SURENA V-RightLeg-version1-Thigh-Motor-EC90fl-600W-V1-3;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Thigh-1/SURENA V-RightLeg-version1-Thigh-Motor-EC90fl-600W-V1-2;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Thigh-1/SURENA V-RightLeg-version1-Thigh-Plane3-1;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Thigh-1/SURENA V-RightLeg-version1-Thigh-Hurmonic Derive-1;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Thigh-1/SURENA V-RightLeg-version1-Thigh-Mechanism1-1;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Thigh-1/SURENA V-RightLeg-version1-Thigh-Plane1-1;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Thigh-1/SURENA V-RightLeg-version1-Thigh-Plane4-1;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Thigh-1/SURENA V-RightLeg-version1-Thigh-Tephlon Ring-6mm-1;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Thigh-1/SURENA V-RightLeg-version1-Thigh-Tephlon Ring-5mm-1;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Thigh-1/SURENA V-RightLeg-version1-Thigh-Plane2-1;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Knee-1/SURENA V-RightLeg-Knee-ShankUp-1/SURENA V-RightLeg-Knee-ShankUp-Plan3-1;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Knee-1/SURENA V-RightLeg-Knee-ShankUp-1/SURENA V-RightLeg-Knee-ShankUp-Plan1-1;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Knee-1/SURENA V-RightLeg-Knee-ShankUp-1/SURENA V-RightLeg-Knee-ShankUp-Plan2-1,r_hip_pitch_frame,Axis1,r_hip_pitch_joint,revolute,0,0,0,0,0,0,r_hip_roll_link,0,-1,0,0,0,0,0,,,,,,,,
r_knee_link,0.00451980283886091,0.00205500244536491,-0.06960111411092,0,0,0,1.78410295570459,0.00290968614443008,4.05219785282089E-07,-3.49186173057657E-05,0.00317066884243242,-1.41829627994943E-06,0.00101458177221383,0,0,0,0,0,0,package://surenav_urdf_nolink/meshes/r_knee_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://surenav_urdf_nolink/meshes/r_knee_link.STL,,SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Knee-1/SURENA V-RightLeg-Knee-ShankDown-1/SURENA V-RightLeg-Knee-ShankDown-Plane2-1;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Shank-Ring 2mm-D23mm-2;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Shank-Machanism1-2;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Knee-1/SURENA V-RightLeg-version1-Knee-Motor Horn-Right-1;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Knee-1/SURENA V-RightLeg-version1-Knee-Tephlon Ring-2;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Knee-1/SURENA V-RightLeg-Knee-ShankDown-1/SURENA V-RightLeg-Knee-ShankDown-Plane4-1;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Knee-1/SURENA V-RightLeg-version1-Knee-Hurmonic Drive-1;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Knee-1/SURENA V-RightLeg-version1-Knee-Hurmonic Ring-2;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Knee-1/SURENA V-RightLeg-version1-Knee-Hurmonic Ring-1;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Knee-1/SURENA V-RightLeg-version1-Knee-Hurmonic Drive-2;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Knee-1/SURENA V-RightLeg-Knee-ShankDown-1/SURENA V-RightLeg-Knee-ShankDown-Plane4-2;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Knee-1/SURENA V-RightLeg-version1-Knee-Tephlon Ring-1;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Shank-Ring 2mm-D23mm-1;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Knee-1/SURENA V-RightLeg-version1-Knee-Motor Horn-Left-1;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Shank-Machanism1-1;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Knee-1/SURENA V-RightLeg-Knee-ShankDown-1/SURENA V-RightLeg-Knee-ShankDown-Plane3-1;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Knee-1/SURENA V-RightLeg-Knee-ShankDown-1/SURENA V-RightLeg-Knee-ShankDown-Plane1-1;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Shank-Pipe-1;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Ankle-1/SURENA V-RightLeg-version1-Ankle-Joint1-1;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Shank-Encoder AD35-1;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Shank-Encoder Holder-1,r_knee_frame,Axis3,r_knee_joint,revolute,8.90422801721746E-05,-0.00199999999999427,-0.360035173572729,0,0,0,r_hip_pitch_link,0,-1,0,0,0,0,0,,,,,,,,
r_ankle_pitch_link,-0.00489721000944913,0.00193538525398533,-0.000766172453700142,0,0,0,0.108340845963504,9.14169347532512E-06,3.76489681730441E-09,1.36207024061513E-06,0.000122294989131605,1.82076506119722E-07,0.000116703015789648,0,0,0,0,0,0,package://surenav_urdf_nolink/meshes/r_ankle_pitch_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://surenav_urdf_nolink/meshes/r_ankle_pitch_link.STL,,SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Ankle-1/SURENA V-RightLeg-version1-Ankle-Joint2-1;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Ankle-1/SURENA V-RightLeg-version1-Ankle-Angle Gage-1,r_ankle_pitch_frame,Axis5,r_ankle_pitch_joint,revolute,0.000997412382606738,0,-0.350014948599999,0,0,0,r_knee_link,0,1,0,0,0,0,0,,,,,,,,
r_ankle_roll_link,0.0261782638901839,0.000138793078492322,-0.040153711347177,0,0,0,1.80660460486529,0.00309562856752568,-9.25756426034399E-07,5.40004900824046E-09,0.00734487579276295,-1.22590701045542E-08,0.0103785967670358,0,0,0,0,0,0,package://surenav_urdf_nolink/meshes/r_ankle_roll_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://surenav_urdf_nolink/meshes/r_ankle_roll_link.STL,,SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Sore-1/SURENA V-LeftLeg-version1-Sore-Plane-1;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Sore-1/SURENA V-RightLeg-version1-Sore-FT Sensor-K3R110_000_K(a)-1;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Ankle-1/SURENA V-RightLeg-version1-Ankle-Bearing-1;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Ankle-1/SURENA V-RightLeg-version1-Ankle-Bearing-2;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Ankle-1/SURENA V-RightLeg-version1-Ankle-Mechanism-1;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Ankle-1/SURENA V-RightLeg-version1-Ankle-Mechanism-2;SURENA V-RightLeg-version1-1/SURENA V-RightLeg-version1-Ankle-1/SURENA V-RightLeg-version1-Ankle-Plane-1,r_ankle_roll_frame,Axis6,r_ankle_roll_joint,revolute,0,0,5.60144157897291E-05,0,0,0,r_ankle_pitch_link,-1,0,0,0,0,0,0,,,,,,,,
l_hip_yaw_link,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://surenav_urdf_nolink/meshes/l_hip_yaw_link.STL,1,1,1,1,0,0,0,0,0,0,package://surenav_urdf_nolink/meshes/l_hip_yaw_link.STL,,SURENA V-LeftLeg-version1-1/SURENA V-LeftLeg-version1-Hip-1/SURENA V-LeftLeg-Hip-Hip Up-1/SURENA V-LeftLeg-Hip-Hip Up-Plane1-1;SURENA V-LeftLeg-version1-1/SURENA V-LeftLeg-version1-Hip-1/SURENA V-LeftLeg-Hip-Hip Up-1/SURENA V-LeftLeg-Hip-Hip Up-Plane3-1;SURENA V-LeftLeg-version1-1/SURENA V-LeftLeg-version1-Hip-1/SURENA V-LeftLeg-Hip-Hip Up-1/SURENA V-LeftLeg-Hip-Hip Up-Plane2-1;SURENA V-LeftLeg-version1-1/SURENA V-LeftLeg-version1-Hip-1/SURENA V-LeftLeg-Hip-Hip Up-1/SURENA V-LeftLeg-Hip-Hip Up-Motor-EC90fl-600W-V1.stp-1;SURENA V-LeftLeg-version1-1/SURENA V-LeftLeg-version1-Hip-1/SURENA V-LeftLeg-Hip-Hip Up-1/SURENA V-LeftLeg-Hip-Hip Up-Plane4-1;SURENA V-LeftLeg-version1-1/SURENA V-LeftLeg-version1-Hip-1/SURENA V-LeftLeg-Hip-Hip Up-1/SURENA V-LeftLeg-Hip-Hip Up-Joint-1;SURENA V-LeftLeg-version1-1/SURENA V-LeftLeg-version1-Hip-1/SURENA V-LeftLeg-Hip-Hip Up-1/SURENA V-LeftLeg-Hip-Hip Up-Hurmonic Derive-1;SURENA V-LeftLeg-version1-1/SURENA V-LeftLeg-version1-Hip-1/SURENA V-LeftLeg-Hip-Hip Up-1/SURENA V-LeftLeg-Hip-Hip Up-Hurmonic Derive Ring-2;SURENA V-LeftLeg-version1-1/SURENA V-LeftLeg-version1-Hip-1/SURENA V-LeftLeg-Hip-Hip Up-1/SURENA V-LeftLeg-Hip-Hip Up-Encoder-1;SURENA V-LeftLeg-version1-1/SURENA V-LeftLeg-version1-Hip-1/SURENA V-LeftLeg-Hip-Hip Up-1/SURENA V-LeftLeg-Hip-Hip Up-Hurmonic Derive Bearing-1,l_hip_yaw_frame,Axis_l_hip_yaw_joint,l_hip_yaw_joint,fixed,0.01650599171992,0.100000001517939,-0.0259999999999996,0,0,0,base_link,0,0,0,0,0,0,0,,,,,,,,
l_hip_roll_link,0.00104994417744859,-0.0151897472622971,0.000186788209863703,0,0,0,1.97809960723075,0.0017434445794773,1.36579023274451E-05,8.19206157048883E-06,0.0028469034201329,3.5272992697876E-06,0.00206761581192161,0,0,0,0,0,0,package://surenav_urdf_nolink/meshes/l_hip_roll_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://surenav_urdf_nolink/meshes/l_hip_roll_link.STL,,SURENA V-LeftLeg-version1-1/SURENA V-LeftLeg-version1-Hip-1/SURENA V-LeftLeg-version1-version1-Hip-Hip Down-1/SURENA V-LeftLeg-version1-Hip-Hip Down-Holder-1;SURENA V-LeftLeg-version1-1/SURENA V-LeftLeg-version1-Hip-1/SURENA V-LeftLeg-version1-version1-Hip-Hip Down-1/SURENA V-LeftLeg-version1-Hip-Hip Down-Joint-1;SURENA V-LeftLeg-version1-1/SURENA V-LeftLeg-version1-Hip-1/SURENA V-LeftLeg-version1-version1-Hip-Hip Down-1/SURENA V-LeftLeg-version1-Hip-Hip Down-Plane4-1;SURENA V-LeftLeg-version1-1/SURENA V-LeftLeg-version1-Hip-1/SURENA V-LeftLeg-version1-version1-Hip-Hip Down-1/SURENA V-LeftLeg-Hip-Hip Down-Motor-EC90fl-600W-V1.stp-1;SURENA V-LeftLeg-version1-1/SURENA V-LeftLeg-version1-Hip-1/SURENA V-LeftLeg-version1-version1-Hip-Hip Down-1/SURENA V-LeftLeg-version1-Hip-Hip Down-Encoder-1;SURENA V-LeftLeg-version1-1/SURENA V-LeftLeg-version1-Hip-1/SURENA V-LeftLeg-version1-version1-Hip-Hip Down-1/SURENA V-LeftLeg-version1-Hip-Hip Down-Hurmonic Derive-1,l_hip_roll_frame,Axis8,l_hip_roll_joint,revolute,-0.00199999999999425,0,-0.11129999969309,0,0,0,l_hip_yaw_link,1,0,0,0,0,0,0,,,,,,,,
l_hip_pitch_link,0.000712926722746764,-0.013734056692334,-0.181008003860001,0,0,0,5.42075086870061,0.00674966428916702,-2.31932794792003E-05,-4.51782868308022E-05,0.00837756280202736,-2.52687897671757E-06,0.00501115252605925,0,0,0,0,0,0,package://surenav_urdf_nolink/meshes/l_hip_pitch_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://surenav_urdf_nolink/meshes/l_hip_pitch_link.STL,,SURENA V-LeftLeg-version1-1/SURENA V-LeftLeg-version1-Hip-1/SURENA V-LeftLeg-version1-version1-Hip-Hip Down-1/SURENA V-LeftLeg-version1-Hip-Hip Down-Plane1-1;SURENA V-LeftLeg-version1-1/SURENA V-LeftLeg-version1-Hip-1/SURENA V-LeftLeg-version1-version1-Hip-Hip Down-1/SURENA V-LeftLeg-version1-Hip-Hip Down-Plane2-1;SURENA V-LeftLeg-version1-1/SURENA V-LeftLeg-version1-Hip-1/SURENA V-LeftLeg-version1-version1-Hip-Hip Down-1/SURENA V-LeftLeg-version1-Hip-Hip Down-Plane3-1;SURENA V-LeftLeg-version1-1/SURENA V-LeftLeg-version1-version1-Thigh-1/SURENA V-LeftLeg-version1-Thigh-Plane3-1;SURENA V-LeftLeg-version1-1/SURENA V-LeftLeg-version1-version1-Thigh-1/SURENA V-LeftLeg-version1-Thigh-Tephlon Ring-5mm-1;SURENA V-LeftLeg-version1-1/SURENA V-LeftLeg-version1-version1-Thigh-1/SURENA V-LeftLeg-version1-Thigh-Hurmonic Derive-1;SURENA V-LeftLeg-version1-1/SURENA V-LeftLeg-version1-version1-Thigh-1/SURENA V-LeftLeg-version1-Thigh-Mechanism1-1;SURENA V-LeftLeg-version1-1/SURENA V-LeftLeg-version1-version1-Thigh-1/SURENA V-LeftLeg-version1-Thigh-Tephlon Ring-6mm-1;SURENA V-LeftLeg-version1-1/SURENA V-LeftLeg-version1-version1-Thigh-1/SURENA V-LeftLeg-version1-Thigh-Plane1-1;SURENA V-LeftLeg-version1-1/SURENA V-LeftLeg-version1-version1-Thigh-1/SURENA V-LeftLeg-version1-Thigh-Plane4-1;SURENA V-LeftLeg-version1-1/SURENA V-LeftLeg-version1-version1-Thigh-1/SURENA V-LeftLeg-Thigh-Motor-EC90fl-600W-V1.stp-3;SURENA V-LeftLeg-version1-1/SURENA V-LeftLeg-version1-version1-Thigh-1/SURENA V-LeftLeg-version1-Thigh-Plane2-1;SURENA V-LeftLeg-version1-1/SURENA V-LeftLeg-version1-version1-Thigh-1/SURENA V-LeftLeg-Thigh-Motor-EC90fl-600W-V1.stp-1;SURENA V-LeftLeg-version1-1/SURENA V-LeftLeg-version1-version1-Thigh-1/SURENA V-LeftLeg-Thigh-Motor-EC90fl-600W-V1.stp-2;SURENA V-LeftLeg-version1-1/SURENA V-LeftLeg-version1-Knee-1/SURENA V-LeftLeg-Knee-ShankUp-1/SURENA V-LeftLeg-Knee-ShankUp-Plan3-1;SURENA V-LeftLeg-version1-1/SURENA V-LeftLeg-version1-Knee-1/SURENA V-LeftLeg-Knee-ShankUp-1/SURENA V-LeftLeg-Knee-ShankUp-Plan1-1;SURENA V-LeftLeg-version1-1/SURENA V-LeftLeg-version1-Knee-1/SURENA V-LeftLeg-Knee-ShankUp-1/SURENA V-LeftLeg-Knee-ShankUp-Plan2-1,l_hip_pitch_frame,Axis7,l_hip_pitch_joint,revolute,0,0,0,0,0,0,l_hip_roll_link,0,1,0,0,0,0,0,,,,,,,,
